Technology,Tissue,Gene 1,Distribution,Gene 2,Distribution,Gene 3,Distribution,Gene 4,Distribution,Gene 5,Distribution,Gene 6,Distribution
10xVisium,DLPFC_151507,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151508,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151509,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151510,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151669,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151670,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151671,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151672,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151673,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151674,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151675,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151676,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,Human_IPMN_LG_1,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_2,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_3,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_4,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_5,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_6,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_7,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_HG_1,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_HG_2,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_HG_3,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_PDAC_1,MUC1,spatial,MUC5AC,spatial,TERT,random,,,,,,
10xVisium,Human_IPMN_PDAC_2,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_PDAC_3,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Mouse_IPMN_15wksDox,Muc1,spatial,Muc5ac,spatial,Tert,random,,,,,,
10xVisium,Mouse_IPMN_25wksDox,Muc1,spatial,Muc5ac,spatial,Tert,random,,,,,,
10xVisium,Human_BCRA_CytAs,BRCA1,random,BRCA2,random,LSP1,spatial,CDH1,spatial,,,,
10xVisium,Human_BCRA_FFPE,BRCA1,random,BRCA2,random,LSP1,spatial,CDH1,spatial,,,,
10xVisium,Human_BCRA_VisiumFreshWT,BRCA1,random,BRCA2,random,LSP1,spatial,CDH1,spatial,,,,
10xVisium,Human_BCRA_WTA,BRCA1,random,BRCA2,random,LSP1,spatial,CDH1,spatial,,,,
10xVisium,Human_CESC_FFPE,MED1,random,ERBB3,random,CASP8,random,TGFBR2,random,,,,
10xVisium,Human_COAD_11mmFFPE,EPCAM,spatial,LGALS4,spatial,PARP6,random,CDKN2D,random,,,,
10xVisium,Human_COAD_CytAs,EPCAM,spatial,LGALS4,spatial,PARP6,random,CDKN2D,random,,,,
10xVisium,Human_COAD_Intestine,EPCAM,spatial,LGALS4,spatial,PARP6,random,CDKN2D,random,,,,
10xVisium,Human_COAD_WTA,EPCAM,spatial,LGALS4,spatial,PARP6,random,CDKN2D,random,,,,
10xVisium,Human_GBM_WTA,IDH1,random,TP53,random,MGMT,random,,,,,,
Merfish,MouseIleum,Acta2,spatial,H2-Eb1,random,Mptx2,spatial,Sdc1,random,,,,
Merfish,HumanMTG_H18_250_1,DIRAS2,spatial,SPOCK1,random,MALAT1,random,,,,,,
Merfish,HumanMTG_H18_4000_1,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanMTG_H18_4000_2,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanMTG_H18_4000_3,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanMTG_H22_250_1,DIRAS2,spatial,SPOCK1,random,MALAT1,random,,,,,,
Merfish,HumanMTG_H22_4000_1,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanMTG_H22_4000_2,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
